game_id,year,date,league,game_number,split,playoffs,patch,datacompleteness,source_url,source_series_id,blue_team,blue_team_id,red_team,red_team_id,first_pick_side,blue_result,red_result,winner_side,winner_team,blue_ban1,red_ban1,blue_pick1,red_pick1,blue_ban2,red_ban2,blue_pick2,red_pick2,blue_ban3,red_ban3,blue_pick3,red_pick3,blue_ban4,red_ban4,blue_pick4,red_pick4,blue_ban5,red_ban5,blue_pick5,red_pick5,team_pair,series_id,fearless_unavailable_before_game,fearless_unavailable_count,fearless_repeat_detected,blue_games_before,blue_wins_before,blue_win_rate_before,blue_season_games_before,blue_season_wins_before,blue_season_win_rate_before,blue_last5_games,blue_last5_win_rate,blue_last10_games,blue_last10_win_rate,blue_side_games_before,blue_side_win_rate_before,blue_patch_games_before,blue_patch_win_rate_before,blue_h2h_games_before,blue_h2h_win_rate_before,red_games_before,red_wins_before,red_win_rate_before,red_season_games_before,red_season_wins_before,red_season_win_rate_before,red_last5_games,red_last5_win_rate,red_last10_games,red_last10_win_rate,red_side_games_before,red_side_win_rate_before,red_patch_games_before,red_patch_win_rate_before,red_h2h_games_before,red_h2h_win_rate_before
LOLTMNT03_337058,2026,2026-01-14 08:13:43+00:00,LCK,1,Cup,0,16.01,complete,,,DN SOOPers,oe:team:b3c72a20aa56f5d28022ac04a7dc294,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,RED,1,0,BLUE,DN SOOPers,Jayce,Neeko,Rumble,Malphite,Azir,Vi,Wukong,Yunara,Orianna,Sylas,Ahri,Taliyah,Ambessa,Rakan,Corki,Alistar,Nautilus,Aphelios,Pantheon,K'Sante,oe:team:b3c72a20aa56f5d28022ac04a7dc294|oe:team:d723992568441c6bafa2658129eade7,2026_20260114_DN_SOOPers_vs_KT_Rolster_S4,[],0,False,87.0,21.0,0.2413793103448276,0.0,0.0,,5.0,0.2,10.0,0.3,52.0,0.3076923076923077,0.0,,7.0,0.14285714285714285,114.0,54.0,0.47368421052631576,0.0,0.0,,5.0,0.0,10.0,0.2,55.0,0.5636363636363636,0.0,,7.0,0.8571428571428571
LOLTMNT03_337069,2026,2026-01-14 09:06:16+00:00,LCK,2,Cup,0,16.01,complete,,,DN SOOPers,oe:team:b3c72a20aa56f5d28022ac04a7dc294,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,RED,0,1,RED,KT Rolster,Jayce,Neeko,Ashe,Ryze,Azir,Vi,Dr. Mundo,Lucian,Orianna,Cassiopeia,Viktor,Braum,Jarvan IV,Renata Glasc,Soraka,Renekton,Nocturne,Lulu,Sion,Sylas,oe:team:b3c72a20aa56f5d28022ac04a7dc294|oe:team:d723992568441c6bafa2658129eade7,2026_20260114_DN_SOOPers_vs_KT_Rolster_S4,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante""]",10,False,88.0,22.0,0.25,1.0,1.0,1.0,5.0,0.4,10.0,0.4,53.0,0.32075471698113206,1.0,1.0,8.0,0.25,115.0,54.0,0.46956521739130436,1.0,0.0,0.0,5.0,0.0,10.0,0.2,56.0,0.5535714285714286,1.0,0.0,8.0,0.75
LOLTMNT03_337081,2026,2026-01-14 09:54:54+00:00,LCK,3,Cup,0,16.01,complete,,,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,DN SOOPers,oe:team:b3c72a20aa56f5d28022ac04a7dc294,RED,1,0,BLUE,KT Rolster,Vi,Poppy,Aphelios,Ambessa,Neeko,Jayce,Jarvan IV,Nocturne,Orianna,Azir,Thresh,Ziggs,Nautilus,Akali,Rek'Sai,Aurora,Leona,Mel,Zoe,Rell,oe:team:b3c72a20aa56f5d28022ac04a7dc294|oe:team:d723992568441c6bafa2658129eade7,2026_20260114_DN_SOOPers_vs_KT_Rolster_S4,"[""Rumble"", ""Malphite"", ""Wukong"", ""Yunara"", ""Ahri"", ""Taliyah"", ""Corki"", ""Alistar"", ""Pantheon"", ""K'Sante"", ""Ashe"", ""Ryze"", ""Dr. Mundo"", ""Lucian"", ""Viktor"", ""Braum"", ""Soraka"", ""Renekton"", ""Sion"", ""Sylas""]",20,False,116.0,55.0,0.47413793103448276,2.0,1.0,0.5,5.0,0.2,10.0,0.3,59.0,0.3898305084745763,2.0,0.5,9.0,0.7777777777777778,89.0,22.0,0.24719101123595505,2.0,1.0,0.5,5.0,0.4,10.0,0.4,35.0,0.14285714285714285,2.0,0.5,9.0,0.2222222222222222
LOLTMNT03_337109,2026,2026-01-14 11:22:18+00:00,LCK,1,Cup,0,16.01,complete,,,Dplus Kia,oe:team:ef69efa6acebe94107f0cf1ba716806,HANJIN BRION,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,RED,1,0,BLUE,Dplus Kia,Azir,Qiyana,Jarvan IV,Neeko,Jayce,Malphite,Ryze,Xin Zhao,Orianna,Rumble,Ambessa,Taliyah,Renekton,Bard,Karma,Yunara,Kai'Sa,Lucian,Ezreal,Rek'Sai,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4|oe:team:ef69efa6acebe94107f0cf1ba716806,2026_20260114_Dplus_Kia_vs_HANJIN_BRION_S8,[],0,False,131.0,73.0,0.5572519083969466,0.0,0.0,,5.0,0.4,10.0,0.5,59.0,0.6101694915254238,0.0,,18.0,0.5555555555555556,101.0,39.0,0.38613861386138615,0.0,0.0,,5.0,0.2,10.0,0.4,48.0,0.2916666666666667,0.0,,18.0,0.4444444444444444
LOLTMNT03_336084,2026,2026-01-14 12:11:18+00:00,LCK,2,Cup,0,16.01,complete,,,Dplus Kia,oe:team:ef69efa6acebe94107f0cf1ba716806,HANJIN BRION,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,RED,1,0,BLUE,Dplus Kia,Azir,Qiyana,Rumble,Orianna,Jayce,Malphite,Pantheon,Nocturne,Vi,Akali,LeBlanc,K'Sante,Rakan,Lucian,Bard,Jhin,Nautilus,Kalista,Sivir,Elise,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4|oe:team:ef69efa6acebe94107f0cf1ba716806,2026_20260114_Dplus_Kia_vs_HANJIN_BRION_S8,"[""Jarvan IV"", ""Neeko"", ""Ryze"", ""Xin Zhao"", ""Ambessa"", ""Taliyah"", ""Karma"", ""Yunara"", ""Ezreal"", ""Rek'Sai""]",10,False,132.0,74.0,0.5606060606060606,1.0,1.0,1.0,5.0,0.4,10.0,0.5,60.0,0.6166666666666667,1.0,1.0,19.0,0.5789473684210527,102.0,39.0,0.38235294117647056,1.0,0.0,0.0,5.0,0.2,10.0,0.3,49.0,0.2857142857142857,1.0,0.0,19.0,0.42105263157894735
LOLTMNT03_336244,2026,2026-01-15 08:05:23+00:00,LCK,1,Cup,0,16.01,complete,,,Kiwoom DRX,oe:team:1d0389df0c5eea93b04122ba167c010,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,RED,0,1,RED,Gen.G,Rumble,Neeko,Yunara,Azir,Jayce,Malphite,Xin Zhao,Pantheon,Poppy,Varus,Orianna,Corki,K'Sante,Lulu,Alistar,Renekton,Sion,Bard,Kennen,Nami,oe:team:1d0389df0c5eea93b04122ba167c010|oe:team:50f58982d91a36557ec8aec52ab014f,2026_20260115_Gen_G_vs_Kiwoom_DRX_S3,[],0,False,97.0,38.0,0.3917525773195876,0.0,0.0,,5.0,0.2,10.0,0.4,55.0,0.41818181818181815,0.0,,4.0,0.0,121.0,90.0,0.743801652892562,0.0,0.0,,5.0,0.8,10.0,0.8,75.0,0.72,0.0,,4.0,1.0
LOLTMNT03_336246,2026,2026-01-15 08:56:47+00:00,LCK,2,Cup,0,16.01,complete,,,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,Kiwoom DRX,oe:team:1d0389df0c5eea93b04122ba167c010,BLUE,1,0,BLUE,Gen.G,Neeko,Rumble,Ryze,Cassiopeia,Sylas,Jayce,Ambessa,Jarvan IV,Vi,Malphite,Wukong,Bard,Varus,Nautilus,Ezreal,Sion,Sivir,Rakan,Leona,Jhin,oe:team:1d0389df0c5eea93b04122ba167c010|oe:team:50f58982d91a36557ec8aec52ab014f,2026_20260115_Gen_G_vs_Kiwoom_DRX_S3,"[""Yunara"", ""Azir"", ""Xin Zhao"", ""Pantheon"", ""Orianna"", ""Corki"", ""Alistar"", ""Renekton"", ""Kennen"", ""Nami""]",10,False,122.0,91.0,0.7459016393442623,1.0,1.0,1.0,5.0,0.8,10.0,0.9,46.0,0.782608695652174,1.0,1.0,5.0,1.0,98.0,38.0,0.3877551020408163,1.0,0.0,0.0,5.0,0.2,10.0,0.3,42.0,0.35714285714285715,1.0,0.0,5.0,0.0
LOLTMNT03_337298,2026,2026-01-15 10:15:24+00:00,LCK,1,Cup,0,16.01,complete,,,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,BNK FEARX,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf,BLUE,0,1,RED,BNK FEARX,Vi,Rumble,Malphite,Yunara,Azir,Orianna,Aphelios,Nautilus,Sylas,Jayce,Taliyah,Ahri,Ambessa,Alistar,Sion,Lulu,Dr. Mundo,Neeko,Karma,Rek'Sai,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf|oe:team:5cd2cd09ec94296f605dd13a2924d6c,2026_20260115_BNK_FEARX_vs_Nongshim_RedForce_S5,[],0,False,116.0,45.0,0.3879310344827586,0.0,0.0,,5.0,0.2,10.0,0.2,65.0,0.38461538461538464,0.0,,11.0,0.6363636363636364,105.0,46.0,0.4380952380952381,0.0,0.0,,5.0,0.2,10.0,0.3,50.0,0.36,0.0,,11.0,0.36363636363636365
LOLTMNT03_337304,2026,2026-01-15 11:14:42+00:00,LCK,2,Cup,0,16.01,complete,,,BNK FEARX,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,RED,1,0,BLUE,BNK FEARX,Rumble,Vi,Neeko,Orianna,Jayce,Azir,Pantheon,Varus,Jarvan IV,Ambessa,Ezreal,Alistar,Nocturne,LeBlanc,Sylas,Renekton,Xin Zhao,Gnar,Kennen,Wukong,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf|oe:team:5cd2cd09ec94296f605dd13a2924d6c,2026_20260115_BNK_FEARX_vs_Nongshim_RedForce_S5,"[""Malphite"", ""Yunara"", ""Aphelios"", ""Nautilus"", ""Taliyah"", ""Ahri"", ""Sion"", ""Lulu"", ""Karma"", ""Rek'Sai""]",10,False,106.0,47.0,0.44339622641509435,1.0,1.0,1.0,5.0,0.4,10.0,0.4,55.0,0.509090909090909,1.0,1.0,12.0,0.4166666666666667,117.0,45.0,0.38461538461538464,1.0,0.0,0.0,5.0,0.0,10.0,0.2,51.0,0.39215686274509803,1.0,0.0,12.0,0.5833333333333334
LOLTMNT03_336495,2026,2026-01-16 08:05:40+00:00,LCK,1,Cup,0,16.01,complete,,,Dplus Kia,oe:team:ef69efa6acebe94107f0cf1ba716806,DN SOOPers,oe:team:b3c72a20aa56f5d28022ac04a7dc294,RED,1,0,BLUE,Dplus Kia,Azir,Qiyana,K'Sante,Rumble,Orianna,Jayce,Ryze,Wukong,Neeko,Cassiopeia,Yunara,Taliyah,Varus,Jarvan IV,Ambessa,Corki,Jhin,Nautilus,Lulu,Nami,oe:team:b3c72a20aa56f5d28022ac04a7dc294|oe:team:ef69efa6acebe94107f0cf1ba716806,2026_20260116_DN_SOOPers_vs_Dplus_Kia_S7,[],0,False,133.0,75.0,0.5639097744360902,2.0,2.0,1.0,5.0,0.4,10.0,0.6,61.0,0.6229508196721312,2.0,1.0,14.0,0.8571428571428571,90.0,22.0,0.24444444444444444,3.0,1.0,0.3333333333333333,5.0,0.4,10.0,0.3,36.0,0.1388888888888889,3.0,0.3333333333333333,14.0,0.14285714285714285
